name,sex,count
Adreena,F,103
Adreian,M,21
Adrein,M,51
Adreina,F,11
Adreinne,F,15
Adrell,M,5
Adren,M,342
Adrena,F,492
Adrene,F,46
Adreon,M,29
Adreona,F,106
Adreonna,F,176
Adrew,M,31
Adreyan,M,97
Adreyona,F,5
Adri,F,144
Adria,F,5801
Adriaan,M,66
Adriah,F,47
Adriahna,F,74
Adrial,M,25
Adrialis,F,8
Adrialys,F,16
Adriam,M,5
Adrian,M,212034
Adriana,F,83194
Adrianah,F,225
Adriane,F,6051
Adrianjames,M,11
Adriann,F,917
Adrianna,F,41483
Adriannah,F,266
Adrianne,F,12901
Adrianno,M,8
Adrianny,F,16
Adriano,M,1846
Adrianpaul,M,7
Adriauna,F,242
Adriaunna,F,53
Adric,M,332
Adrick,M,151
Adrie,F,184
Adriean,M,18
Adrieana,F,121
Adrieanna,F,363
Adrieanne,F,16
Adriel,M,7356
Adriela,F,10
Adriell,M,44
Adriella,F,64
Adrielle,F,628
Adrien,M,7315
Adriena,F,135
Adriene,F,2345
Adrienn,F,27
Adrienna,F,768
Adrienne,F,65747
Adriennie,F,5
Adrieonna,F,5
Adrihana,F,5
Adrihanna,F,22
Adrija,F,23
Adrijana,F,51
Adrik,M,340
Adrika,F,7
Adrin,M,339
Adrina,F,1331
Adrine,F,64
Adrinna,F,28
Adrinne,F,66
Adrion,M,659
Adriona,F,290
Adrionna,F,832
Adris,M,5
Adrita,F,32
Adrith,M,6
Adriunna,F,5
Adrius,M,18
Adriyan,M,32
Adriyana,F,160
Adriyanna,F,181
Adriyel,M,22
Adron,M,1087
Adry,F,5
Adryan,M,890
Adryana,F,470
Adryanah,F,5
Adryann,F,5
Adryanna,F,607
Adryauna,F,5
Adryel,M,60
Adryen,M,78
Adryn,M,20
Adryon,M,15
Adryonna,F,5
Adulfo,M,5
Adut,F,27
Advait,M,303
Advaita,F,18
Advaith,M,402
Advay,M,268
Advik,M,357
Advika,F,260
Advit,M,19
Advita,F,21
Advith,M,27
Advitha,F,10
